id,nombre,tipo
1,Dog Collar,other
2,Repair Tool Set for Home Improvement,mutual
3,Pecan Nuts,etf
4,Caramelized Onion Dip Mix,mutual
5,Cilantro Lime Rice,etf
6,Athletic Sports Bra,other
7,Spinach and Cheese Stuffed Shells,mutual
8,Cranberry Almond Biscotti,etf
9,Kombucha Drink,other
10,Portable Folding Picnic Table,other
11,Tuna Fish (canned),mutual
12,Crispy Potato Tots,etf
13,Granulated Sugar,mutual
14,Adjustable Dog Harness,etf
15,Oven Thermometer,other
16,Smartphone Tripod,etf
17,Greek Yogurt,other
18,Adjustable Kneeling Pad,mutual
19,Handmade Leather Journal,other
20,Memory Foam Mattress Topper,mutual
21,Organic Almonds,etf
22,Oven-Baked Potato Chips,mutual
23,Cranberry Juice,etf
24,Children's Musical Instrument Set,other
25,Maple Bacon Jerky,etf
26,Tandoori Chicken Marinade,other
27,Sushi Roll Kit,mutual
28,Vegetable Stock,mutual
29,Key Finder,etf
30,Home Cleaning Robot,other
31,Kale Chips,etf
32,Baby Safety Corner Guards,other
33,Couscous Mix,mutual
34,Californian Raisins,other
35,Cranberry Orange Oatmeal,mutual
36,Maple Pecan Oatmeal Cookies,etf
37,Luxury Bath Robe,mutual
38,Multi-Functional Rice Cooker,etf
39,Kids' Craft Supplies Set,other
40,Wireless Security Camera,mutual
41,Kids Tablet,etf
42,Wooden Toy Train Set,other
43,Zucchini Noodle Pasta,other
44,Oven-Baked Chicken Tenders,mutual
45,Premium Flashlight,etf
46,Electric Hot Pot,mutual
47,Classic Bagels,etf
48,Compact Shoe Rack,other
49,Sweet BBQ Dipping Sauce,etf
50,Striped Long Sleeve Shirt,other
51,Sweet Potato & Kale Hash,mutual
52,Portable Electric Fan,etf
53,Compressed Towel Tablets,other
54,Personal Blender with Cups,mutual
55,Peach & Mango Salsa,etf
56,Durable Hiking Boots,other
57,Instant Pot,mutual
58,Smart Scale,mutual
59,Decorative Wall Tapestry,etf
60,Travel Size Toiletry Bottles,other
61,Guitar Tuner,etf
62,Mini Indoor Herb Garden Kit,other
63,Peanut Butter Banana Smoothie Mix,mutual
64,Overnight Hiking Backpack,etf
65,Vegetable Chips,other
66,Sketchbook,mutual
67,Thyme,etf
68,Pet Waterer with Filtration,other
69,Watering Can with Nozzle,mutual
70,Electrolyte Water Bottle,other
71,Sourdough Bread,mutual
72,Fitness Jump Rope,etf
73,Coconut Oil,other
74,Electric Screwdriver,mutual
75,Recipe Book Stand,etf
76,Peanut Butter Pretzel Bites,mutual
77,Smoked Paprika Chicken Thighs,etf
78,Mechanical Pencil Set,other
79,Kale Salad Kit,other
80,Pet Water Fountain with Filtration,mutual
81,Ceramic Planter Set,etf
82,Kale Caesar Salad Kit,mutual
83,Noise-Canceling Headphones,etf
84,Peanut Butter Chocolate Clusters,other
85,Wooden Children's Play Kitchen,mutual
86,Gardening Fairy Figurines,etf
87,Cheddar & Bacon Potato Skins,other
88,Rechargeable Electric Screwdriver,mutual
89,Mini Meatballs,etf
90,Electric Wine Opener,other
91,Applewood Smoked Bacon,other
92,Folding Table,mutual
93,Dish Soap Dispenser,etf
94,Buffalo Wing Sauce,mutual
95,Coconut Milk,etf
96,Mini Fondue Set,other
97,Crispy Onion Rings,other
98,Oven-Baked Cheese Crisps,mutual
99,Cable Knit Beanie,etf
100,Habanero Hot Sauce,mutual
